2022-08-29 00:46:24 |INFO  |background-preinit |Version.java:21 |org.hibernate.validator.internal.util.Version |HV000001: Hibernate Validator 6.2.3.Final
2022-08-29 00:46:25 |INFO  |main |LocalConfigInfoProcessor.java:212 |com.alibaba.nacos.client.config.impl.LocalConfigInfoProcessor |LOCAL_SNAPSHOT_PATH:C:\Users\su\nacos\config
2022-08-29 00:46:25 |INFO  |main |Limiter.java:54 |com.alibaba.nacos.client.config.impl.Limiter |limitTime:5.0
2022-08-29 00:46:26 |INFO  |main |JvmUtil.java:49 |com.alibaba.nacos.client.config.utils.JvmUtil |isMultiInstance:false
2022-08-29 00:46:26 |INFO  |main |PropertySourceBootstrapConfiguration.java:109 |org.springframework.cloud.bootstrap.config.PropertySourceBootstrapConfiguration |Located property source: [BootstrapPropertySource@982634822 {name='bootstrapProperties-service-oss-dev.yaml,DEFAULT_GROUP', properties={spring.cloud.nacos.discovery.server-addr=192.168.56.10:8848, server.port=8050}}, BootstrapPropertySource@1199833406 {name='bootstrapProperties-service-oss.yaml,DEFAULT_GROUP', properties={}}, BootstrapPropertySource@1872047468 {name='bootstrapProperties-service-oss,DEFAULT_GROUP', properties={}}, BootstrapPropertySource@1499825229 {name='bootstrapProperties-all-service.yaml,DEFAULT_GROUP', properties={mybatis-plus.mapper-locations=classpath:/mapper/**/*.xml, mybatis-plus.global-config.db-config.id-type=auto, management.endpoints.web.exposure.include=*, management.endpoint.health.show-details=always}}]
2022-08-29 00:46:26 |INFO  |main |SpringApplication.java:640 |com.xn2001.college.service.oss.ServiceOssApplication |The following 1 profile is active: "dev"
2022-08-29 00:46:26 |INFO  |main |GenericScope.java:283 |org.springframework.cloud.context.scope.GenericScope |BeanFactory id=2db8b0d6-f6ea-3d5b-a6f3-51b5a01326b4
2022-08-29 00:46:27 |INFO  |main |TomcatWebServer.java:108 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 8050 (http)
2022-08-29 00:46:27 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-8050"]
2022-08-29 00:46:27 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2022-08-29 00:46:27 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-08-29 00:46:27 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2022-08-29 00:46:27 |INFO  |main |ServletWebServerApplicationContext.java:292 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 1336 ms
2022-08-29 00:46:29 |INFO  |main |InitUtils.java:65 |com.alibaba.nacos.client.naming |initializer namespace from System Property :null
2022-08-29 00:46:29 |INFO  |main |InitUtils.java:74 |com.alibaba.nacos.client.naming |initializer namespace from System Environment :null
2022-08-29 00:46:29 |INFO  |main |InitUtils.java:84 |com.alibaba.nacos.client.naming |initializer namespace from System Property :null
2022-08-29 00:46:29 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-8050"]
2022-08-29 00:46:29 |INFO  |main |BeatReactor.java:147 |com.alibaba.nacos.client.naming |com.alibaba.nacos.client.naming.beat.BeatReactor do shutdown begin
2022-08-29 00:46:29 |INFO  |main |BeatReactor.java:149 |com.alibaba.nacos.client.naming |com.alibaba.nacos.client.naming.beat.BeatReactor do shutdown stop
2022-08-29 00:46:29 |INFO  |main |HostReactor.java:409 |com.alibaba.nacos.client.naming |com.alibaba.nacos.client.naming.core.HostReactor do shutdown begin
2022-08-29 00:46:30 |INFO  |main |PushReceiver.java:121 |com.alibaba.nacos.client.naming |com.alibaba.nacos.client.naming.core.PushReceiver do shutdown begin
2022-08-29 00:46:33 |INFO  |main |PushReceiver.java:125 |com.alibaba.nacos.client.naming |com.alibaba.nacos.client.naming.core.PushReceiver do shutdown stop
2022-08-29 00:46:33 |INFO  |main |FailoverReactor.java:132 |com.alibaba.nacos.client.naming |com.alibaba.nacos.client.naming.backups.FailoverReactor do shutdown begin
2022-08-29 00:46:36 |INFO  |main |FailoverReactor.java:134 |com.alibaba.nacos.client.naming |com.alibaba.nacos.client.naming.backups.FailoverReactor do shutdown stop
2022-08-29 00:46:36 |INFO  |main |HostReactor.java:414 |com.alibaba.nacos.client.naming |com.alibaba.nacos.client.naming.core.HostReactor do shutdown stop
2022-08-29 00:46:36 |INFO  |main |NamingProxy.java:719 |com.alibaba.nacos.client.naming |com.alibaba.nacos.client.naming.net.NamingProxy do shutdown begin
2022-08-29 00:46:36 |INFO  |main |CredentialWatcher.java:105 |com.alibaba.nacos.client.identify.CredentialWatcher |[null] CredentialWatcher is stopped
2022-08-29 00:46:36 |INFO  |main |CredentialService.java:98 |com.alibaba.nacos.client.identify.CredentialService |[null] CredentialService is freed
2022-08-29 00:46:36 |INFO  |main |NamingProxy.java:723 |com.alibaba.nacos.client.naming |com.alibaba.nacos.client.naming.net.NamingProxy do shutdown stop
2022-08-29 00:46:36 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Pausing ProtocolHandler ["http-nio-8050"]
2022-08-29 00:46:36 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Stopping service [Tomcat]
2022-08-29 00:46:36 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Stopping ProtocolHandler ["http-nio-8050"]
2022-08-29 00:46:36 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Destroying ProtocolHandler ["http-nio-8050"]
2022-08-29 01:24:00 |INFO  |background-preinit |Version.java:21 |org.hibernate.validator.internal.util.Version |HV000001: Hibernate Validator 6.2.3.Final
2022-08-29 01:24:01 |INFO  |main |LocalConfigInfoProcessor.java:212 |com.alibaba.nacos.client.config.impl.LocalConfigInfoProcessor |LOCAL_SNAPSHOT_PATH:C:\Users\su\nacos\config
2022-08-29 01:24:01 |INFO  |main |Limiter.java:54 |com.alibaba.nacos.client.config.impl.Limiter |limitTime:5.0
2022-08-29 01:24:01 |INFO  |main |JvmUtil.java:49 |com.alibaba.nacos.client.config.utils.JvmUtil |isMultiInstance:false
2022-08-29 01:24:01 |INFO  |main |PropertySourceBootstrapConfiguration.java:109 |org.springframework.cloud.bootstrap.config.PropertySourceBootstrapConfiguration |Located property source: [BootstrapPropertySource@1455064947 {name='bootstrapProperties-service-oss-dev.yaml,DEFAULT_GROUP', properties={spring.cloud.nacos.discovery.server-addr=192.168.56.10:8848, server.port=8050}}, BootstrapPropertySource@1827371870 {name='bootstrapProperties-service-oss.yaml,DEFAULT_GROUP', properties={}}, BootstrapPropertySource@2110785285 {name='bootstrapProperties-service-oss,DEFAULT_GROUP', properties={}}, BootstrapPropertySource@253027775 {name='bootstrapProperties-all-service.yaml,DEFAULT_GROUP', properties={mybatis-plus.mapper-locations=classpath:/mapper/**/*.xml, mybatis-plus.global-config.db-config.id-type=auto, management.endpoints.web.exposure.include=*, management.endpoint.health.show-details=always}}]
2022-08-29 01:24:01 |INFO  |main |SpringApplication.java:640 |com.xn2001.college.service.oss.ServiceOssApplication |The following 1 profile is active: "dev"
2022-08-29 01:24:02 |INFO  |main |GenericScope.java:283 |org.springframework.cloud.context.scope.GenericScope |BeanFactory id=2db8b0d6-f6ea-3d5b-a6f3-51b5a01326b4
2022-08-29 01:24:02 |INFO  |main |TomcatWebServer.java:108 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 8050 (http)
2022-08-29 01:24:02 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-8050"]
2022-08-29 01:24:02 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2022-08-29 01:24:02 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-08-29 01:24:02 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2022-08-29 01:24:02 |INFO  |main |ServletWebServerApplicationContext.java:292 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 1167 ms
2022-08-29 01:24:04 |INFO  |main |InitUtils.java:65 |com.alibaba.nacos.client.naming |initializer namespace from System Property :null
2022-08-29 01:24:04 |INFO  |main |InitUtils.java:74 |com.alibaba.nacos.client.naming |initializer namespace from System Environment :null
2022-08-29 01:24:04 |INFO  |main |InitUtils.java:84 |com.alibaba.nacos.client.naming |initializer namespace from System Property :null
2022-08-29 01:24:04 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-8050"]
2022-08-29 01:24:04 |INFO  |main |BeatReactor.java:147 |com.alibaba.nacos.client.naming |com.alibaba.nacos.client.naming.beat.BeatReactor do shutdown begin
2022-08-29 01:24:04 |INFO  |main |BeatReactor.java:149 |com.alibaba.nacos.client.naming |com.alibaba.nacos.client.naming.beat.BeatReactor do shutdown stop
2022-08-29 01:24:04 |INFO  |main |HostReactor.java:409 |com.alibaba.nacos.client.naming |com.alibaba.nacos.client.naming.core.HostReactor do shutdown begin
2022-08-29 01:24:05 |INFO  |main |PushReceiver.java:121 |com.alibaba.nacos.client.naming |com.alibaba.nacos.client.naming.core.PushReceiver do shutdown begin
2022-08-29 01:24:08 |INFO  |main |PushReceiver.java:125 |com.alibaba.nacos.client.naming |com.alibaba.nacos.client.naming.core.PushReceiver do shutdown stop
2022-08-29 01:24:08 |INFO  |main |FailoverReactor.java:132 |com.alibaba.nacos.client.naming |com.alibaba.nacos.client.naming.backups.FailoverReactor do shutdown begin
2022-08-29 01:24:11 |INFO  |main |FailoverReactor.java:134 |com.alibaba.nacos.client.naming |com.alibaba.nacos.client.naming.backups.FailoverReactor do shutdown stop
2022-08-29 01:24:11 |INFO  |main |HostReactor.java:414 |com.alibaba.nacos.client.naming |com.alibaba.nacos.client.naming.core.HostReactor do shutdown stop
2022-08-29 01:24:11 |INFO  |main |NamingProxy.java:719 |com.alibaba.nacos.client.naming |com.alibaba.nacos.client.naming.net.NamingProxy do shutdown begin
2022-08-29 01:24:11 |INFO  |main |CredentialWatcher.java:105 |com.alibaba.nacos.client.identify.CredentialWatcher |[null] CredentialWatcher is stopped
2022-08-29 01:24:11 |INFO  |main |CredentialService.java:98 |com.alibaba.nacos.client.identify.CredentialService |[null] CredentialService is freed
2022-08-29 01:24:11 |INFO  |main |NamingProxy.java:723 |com.alibaba.nacos.client.naming |com.alibaba.nacos.client.naming.net.NamingProxy do shutdown stop
2022-08-29 01:24:11 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Pausing ProtocolHandler ["http-nio-8050"]
2022-08-29 01:24:11 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Stopping service [Tomcat]
2022-08-29 01:24:11 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Stopping ProtocolHandler ["http-nio-8050"]
2022-08-29 01:24:11 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Destroying ProtocolHandler ["http-nio-8050"]
2022-08-29 01:38:18 |INFO  |background-preinit |Version.java:21 |org.hibernate.validator.internal.util.Version |HV000001: Hibernate Validator 6.2.3.Final
2022-08-29 01:38:19 |INFO  |main |LocalConfigInfoProcessor.java:212 |com.alibaba.nacos.client.config.impl.LocalConfigInfoProcessor |LOCAL_SNAPSHOT_PATH:C:\Users\su\nacos\config
2022-08-29 01:38:19 |INFO  |main |Limiter.java:54 |com.alibaba.nacos.client.config.impl.Limiter |limitTime:5.0
2022-08-29 01:38:19 |INFO  |main |JvmUtil.java:49 |com.alibaba.nacos.client.config.utils.JvmUtil |isMultiInstance:false
2022-08-29 01:38:19 |INFO  |main |PropertySourceBootstrapConfiguration.java:109 |org.springframework.cloud.bootstrap.config.PropertySourceBootstrapConfiguration |Located property source: [BootstrapPropertySource@959055079 {name='bootstrapProperties-service-oss-dev.yaml,DEFAULT_GROUP', properties={spring.cloud.nacos.discovery.server-addr=192.168.56.10:8848, server.port=8050}}, BootstrapPropertySource@133177937 {name='bootstrapProperties-service-oss.yaml,DEFAULT_GROUP', properties={}}, BootstrapPropertySource@234857227 {name='bootstrapProperties-service-oss,DEFAULT_GROUP', properties={}}, BootstrapPropertySource@81269359 {name='bootstrapProperties-all-service.yaml,DEFAULT_GROUP', properties={spring.redis.host=192.168.56.10, spring.redis.port=6379, mybatis-plus.mapper-locations=classpath:/mapper/**/*.xml, mybatis-plus.global-config.db-config.id-type=auto, management.endpoints.web.exposure.include=*, management.endpoint.health.show-details=always}}]
2022-08-29 01:38:19 |INFO  |main |SpringApplication.java:640 |com.xn2001.college.service.oss.ServiceOssApplication |The following 1 profile is active: "dev"
2022-08-29 01:38:19 |INFO  |main |GenericScope.java:283 |org.springframework.cloud.context.scope.GenericScope |BeanFactory id=2db8b0d6-f6ea-3d5b-a6f3-51b5a01326b4
2022-08-29 01:38:19 |INFO  |main |TomcatWebServer.java:108 |org.springframework.boot.web.embedded.tomcat.TomcatWebServer |Tomcat initialized with port(s): 8050 (http)
2022-08-29 01:38:19 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Initializing ProtocolHandler ["http-nio-8050"]
2022-08-29 01:38:19 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardService |Starting service [Tomcat]
2022-08-29 01:38:19 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.StandardEngine |Starting Servlet engine: [Apache Tomcat/9.0.65]
2022-08-29 01:38:20 |INFO  |main |DirectJDKLog.java:173 |org.apache.catalina.core.ContainerBase.[Tomcat].[localhost].[/] |Initializing Spring embedded WebApplicationContext
2022-08-29 01:38:20 |INFO  |main |ServletWebServerApplicationContext.java:292 |org.springframework.boot.web.servlet.context.ServletWebServerApplicationContext |Root WebApplicationContext: initialization completed in 782 ms
2022-08-29 01:38:21 |INFO  |main |InitUtils.java:65 |com.alibaba.nacos.client.naming |initializer namespace from System Property :null
2022-08-29 01:38:21 |INFO  |main |InitUtils.java:74 |com.alibaba.nacos.client.naming |initializer namespace from System Environment :null
2022-08-29 01:38:21 |INFO  |main |InitUtils.java:84 |com.alibaba.nacos.client.naming |initializer namespace from System Property :null
2022-08-29 01:38:21 |INFO  |main |DirectJDKLog.java:173 |org.apache.coyote.http11.Http11NioProtocol |Starting ProtocolHandler ["http-nio-8050"]
2022-08-29 01:38:21 |INFO  |main |BeatReactor.java:147 |com.alibaba.nacos.client.naming |com.alibaba.nacos.client.naming.beat.BeatReactor do shutdown begin
2022-08-29 01:38:21 |INFO  |main |BeatReactor.java:149 |com.alibaba.nacos.client.naming |com.alibaba.nacos.client.naming.beat.BeatReactor do shutdown stop
2022-08-29 01:38:21 |INFO  |main |HostReactor.java:409 |com.alibaba.nacos.client.naming |com.alibaba.nacos.client.naming.core.HostReactor do shutdown begin
2022-08-29 01:38:22 |INFO  |main |PushReceiver.java:121 |com.alibaba.nacos.client.naming |com.alibaba.nacos.client.naming.core.PushReceiver do shutdown begin
